Model,Replication,Accuracy,F1 Score,ROC AUC,Best Parameters
Logistic Regression,1,0.9720,0.9710,0.9975,"{'C': 10, 'max_iter': 10000}"
Logistic Regression,2,0.9720,0.9716,0.9950,"{'C': 10, 'max_iter': 10000}"
Logistic Regression,3,0.9860,0.9855,0.9946,"{'C': 10, 'max_iter': 10000}"
Logistic Regression,4,0.9790,0.9779,0.9971,"{'C': 10, 'max_iter': 10000}"
Logistic Regression,5,0.9755,0.9751,0.9920,"{'C': 10, 'max_iter': 10000}"
Logistic Regression,6,0.9825,0.9821,0.9959,"{'C': 10, 'max_iter': 10000}"
Logistic Regression,7,0.9650,0.9653,0.9946,"{'C': 10, 'max_iter': 10000}"
Logistic Regression,8,0.9860,0.9863,0.9925,"{'C': 10, 'max_iter': 10000}"
Logistic Regression,9,0.9755,0.9769,0.9967,"{'C': 10, 'max_iter': 10000}"
Logistic Regression,10,0.9825,0.9826,0.9969,"{'C': 10, 'max_iter': 10000}"
